id,year,month,recreation_visitors,non_recreation_visitors,recreation_hr,non_recreation_hr,concession_lodging,tent_campers,rv_campers,concession_camping,backcountry_campers,misc_campers,non_recreation_overnight_stays,total_overnight_stays,np_name
1,1979,January,53585,50,326130,150,0,65,119,0,201,0,0,385,Rocky Mountain
2,1979,February,85931,42,522222,126,0,104,233,0,216,0,0,553,Rocky Mountain
3,1979,March,75070,50,463392,150,0,284,347,0,450,0,0,1081,Rocky Mountain
4,1979,April,66873,26,420402,78,0,791,566,0,240,0,0,1597,Rocky Mountain
5,1979,May,79577,44,552546,132,0,3552,2057,0,648,0,0,6257,Rocky Mountain
6,1979,June,368257,1966,2760810,5898,0,23239,17101,0,4336,1263,0,45939,Rocky Mountain
7,1979,July,553294,2892,4422552,8676,0,40034,33228,0,14179,4458,0,91899,Rocky Mountain
8,1979,August,600221,3254,4816290,9762,0,41853,31051,0,23216,5127,0,101247,Rocky Mountain
9,1979,September,376202,2118,3667908,6354,0,24269,82796,0,10105,388,0,117558,Rocky Mountain
10,1979,October,198374,900,1285080,2700,0,3561,2310,0,2032,0,0,7903,Rocky Mountain
11,1979,November,50283,58,318510,174,0,431,409,0,561,0,0,1401,Rocky Mountain
12,1979,December,60863,56,373062,168,0,198,83,0,376,0,0,657,Rocky Mountain
13,1980,January,42902,28,263280,84,0,151,58,0,280,0,0,489,Rocky Mountain
14,1980,February,59403,44,361110,132,0,108,86,0,197,0,0,391,Rocky Mountain
15,1980,March,58790,24,366516,72,0,320,194,0,634,0,0,1148,Rocky Mountain
16,1980,April,64299,142,396462,426,0,342,251,0,296,0,0,889,Rocky Mountain
17,1980,May,93210,98,645828,294,0,4126,2389,0,699,0,0,7214,Rocky Mountain
18,1980,June,410449,2384,3108666,7152,0,27823,17975,0,5874,2159,0,53831,Rocky Mountain
19,1980,July,573465,3748,4562826,11244,0,39014,33329,0,15653,5507,0,93503,Rocky Mountain
20,1980,August,609383,3634,4865262,10902,0,42131,31487,0,22043,5086,0,100747,Rocky Mountain
21,1980,September,389771,1472,2888418,4416,0,22785,13611,0,8530,890,0,45816,Rocky Mountain
22,1980,October,219495,532,1455666,1596,0,5073,3969,0,2516,0,0,11558,Rocky Mountain
23,1980,November,51344,100,651888,300,0,230,152,0,274,0,0,656,Rocky Mountain
24,1980,December,69426,54,426300,162,0,146,197,0,469,0,0,812,Rocky Mountain
25,1981,January,52645,60,327342,180,0,265,173,0,518,0,0,956,Rocky Mountain
26,1981,February,47256,0,288108,0,0,82,7,0,292,0,0,381,Rocky Mountain
27,1981,March,63637,0,388350,0,0,89,26,0,429,0,0,544,Rocky Mountain
28,1981,April,78529,0,486342,0,0,520,152,0,592,0,0,1264,Rocky Mountain
29,1981,May,130744,0,867072,0,0,4092,1233,0,1559,0,0,6884,Rocky Mountain
30,1981,June,439671,642,3266694,1926,0,25815,16500,0,9013,1061,0,52389,Rocky Mountain
31,1981,July,674786,2130,5042424,6390,0,36193,33716,0,12900,5960,0,88769,Rocky Mountain
32,1981,August,677202,1908,13085328,5724,0,38830,32391,0,17746,6126,0,95093,Rocky Mountain
33,1981,September,430738,656,3206496,1968,0,26671,16660,0,7953,555,0,51839,Rocky Mountain
34,1981,October,202193,170,1335666,510,0,4926,3085,0,2198,0,0,10209,Rocky Mountain
35,1981,November,51650,54,322716,162,0,465,251,0,352,0,0,1068,Rocky Mountain
36,1981,December,62191,218,381804,654,0,210,81,0,376,0,0,667,Rocky Mountain
37,1982,January,65547,316,398802,948,0,154,58,0,248,0,0,460,Rocky Mountain
38,1982,February,59558,48,363372,144,0,172,108,0,222,0,0,502,Rocky Mountain
